# staircaseramp pharma apab apabv3 ap05hz ap1hz ap2hz
1.387198527482041144e-01 1.044005881792177265e-01 2.885549265245442863e-01 1.548633614690853033e-01 3.351644549124913608e-01 2.664306693509886914e-01 2.709199242264850316e-01
1.398107530986464064e-01 2.162003140477138652e-01 4.759124995365498489e-01 2.730112346995882122e-01 6.550195727084808794e-01 4.282558768010673589e-01 3.790601698926834295e-01
1.400566450787288086e-01 1.341516979752883365e-01 3.648927161372551575e-01 2.197380794807863302e-01 3.634880900399096171e-01 3.041544408818321887e-01 2.254729820798695994e-01
1.429014901874111620e-01 1.293961948159595143e-01 3.473130604910745212e-01 1.930064967536132825e-01 4.276498338535076327e-01 2.972330319467934578e-01 2.677684238383661319e-01
1.441377400494570360e-01 1.205329803011872536e-01 2.464315635412286654e-01 2.126014852982136827e-01 2.850605163667588871e-01 2.703630907950915208e-01 3.239494377043823370e-01
1.468532920286441390e-01 1.729832114691843559e-01 4.684813883212715635e-01 2.348128410249268327e-01 5.193783612508046099e-01 4.219683149792774479e-01 2.658394552146899348e-01
1.469673646455839922e-01 1.646768761185517516e-01 3.793097305453762558e-01 2.172873003410838721e-01 3.545874749196583076e-01 2.744560913677221992e-01 3.323166053834040734e-01
1.471054781191902527e-01 1.433509955365417921e-01 3.520992378665492861e-01 2.535794978693114432e-01 5.577452699944362990e-01 3.876055866654635751e-01 3.951944787088790823e-01
1.484347466349121292e-01 1.566958640753677301e-01 3.547521502706019736e-01 2.988824253064872316e-01 4.649403580816938719e-01 3.335340155667065876e-01 4.837739733948079324e-01
1.496817883124787751e-01 2.633252064101610501e-01 4.246999552734931349e-01 2.949555959835196139e-01 3.928873705134187100e-01 5.351315860107841438e-01 4.387171978985453524e-01
1.501373300341130035e-01 1.666921525890819877e-01 3.716406709849325862e-01 3.406789850476364956e-01 3.613732212168125346e-01 4.117681345790845104e-01 4.729433827099843723e-01
1.509347134336409546e-01 1.547071835039687537e-01 3.899137300043413745e-01 2.109974715647413568e-01 3.538579290002927813e-01 2.931131170261463414e-01 3.193471369096980150e-01
1.529355477854079659e-01 1.442317258839004857e-01 4.499049843954961991e-01 2.306364844064697495e-01 3.710287226883013934e-01 3.246413730873412562e-01 3.446841748896617430e-01
1.531064662770016405e-01 1.681429980528551804e-01 2.550734284241437111e-01 2.986259860921737785e-01 4.449393111632902187e-01 3.337453259935412864e-01 2.122699846994744732e-01
1.539742856616059807e-01 1.622973372031407957e-01 3.395638735328738167e-01 1.644565662828788577e-01 3.524633146510400272e-01 2.499520276118409878e-01 3.045714432431190777e-01
1.541899725983812974e-01 1.098242043447530819e-01 2.948113014215700822e-01 1.688515017042087896e-01 3.708978676852596190e-01 2.475733679804487386e-01 3.066337962257840166e-01
1.555518344498718619e-01 1.877396429877635220e-01 2.663906015742176225e-01 2.023319093135827473e-01 3.530070217414070788e-01 2.884969813711826259e-01 2.334230079889276499e-01
1.558129276354539572e-01 1.271987806838280333e-01 4.879033114159003204e-01 3.126536181508287604e-01 4.598733867437437839e-01 3.718011241322984883e-01 4.871260295272894503e-01
1.594989018139056358e-01 1.240141285079785632e-01 2.642278856518774921e-01 1.750202753205850892e-01 3.681237287049957119e-01 2.914892940510035446e-01 3.214060788446971850e-01
1.596406629523270115e-01 1.802366093337100239e-01 3.915889721715479221e-01 2.436407442205454077e-01 4.320917345636319240e-01 3.238543744937993907e-01 3.640214670490649618e-01
1.620601977218281142e-01 1.383887352257687775e-01 3.539411752921124976e-01 2.551492110579419159e-01 5.171209377169980748e-01 3.684989867995673851e-01 3.872319414676178018e-01
1.675668661827205419e-01 2.158252831790724302e-01 3.195533756222947996e-01 2.214439326242733375e-01 2.749693575867167006e-01 2.460416940118879403e-01 2.571487031800678280e-01
1.678397603960948559e-01 1.853464559761191233e-01 3.449286142993340243e-01 2.277824519504262624e-01 4.406151814851257953e-01 3.340593818684047256e-01 3.956361871183981527e-01
1.678951951588431024e-01 2.140284790437435580e-01 4.155670185214656032e-01 3.990572736070568394e-01 5.077767261119519038e-01 3.373631807586349729e-01 2.451961709995869598e-01
1.697373126815915623e-01 1.260704321020226226e-01 3.494160773702646994e-01 1.951425149341238230e-01 4.740411187409552252e-01 3.363762794923971788e-01 3.836311830655271815e-01
1.739201256134987883e-01 2.780281694279756466e-01 5.594006874326671319e-01 3.561378153697722371e-01 6.988366065978388608e-01 5.790497449536418095e-01 4.302643977423653565e-01
1.766914048788712777e-01 1.678219665308094966e-01 3.559309598358159077e-01 2.041698386261422138e-01 4.427706865929576519e-01 4.051599052756399977e-01 3.928552384271222775e-01
1.840783326461319647e-01 1.217916363850412159e-01 2.702498468851330937e-01 1.843387448519067939e-01 6.237157264072799023e-01 3.798478906725529791e-01 3.071758698795671871e-01
1.842860753705989063e-01 1.505759691122078303e-01 3.445988888584065046e-01 1.811035026276610338e-01 3.866806125367702185e-01 3.145044287355523438e-01 2.553676942885145795e-01
1.855801426442620083e-01 3.627621538051790662e-01 7.907307575193465166e-01 4.331745287805760514e-01 6.504980532925986880e-01 5.873127902437232928e-01 5.179649167547645261e-01
1.861465040007107552e-01 1.530769386611326166e-01 2.649350628398153829e-01 2.102863905286444790e-01 3.488791346544900529e-01 2.989120611006368944e-01 3.511442566324145531e-01
1.864168907506953410e-01 1.391770599059961866e-01 5.383584560190725066e-01 4.907729129864347173e-01 5.628781342844358937e-01 5.015369947749572788e-01 5.137823057932145998e-01
1.888973264941971042e-01 2.270643403434094154e-01 4.285025365025855182e-01 3.617117923992940187e-01 5.876089373309620889e-01 4.313032117575030244e-01 2.873666033388160290e-01
1.928992953532397137e-01 2.715997553480351545e-01 3.828289760064940705e-01 3.016974828283025545e-01 4.270395432591600482e-01 4.139443069454485924e-01 3.030644375397618662e-01
1.938101674876879510e-01 1.794101247931807475e-01 3.494413537114961499e-01 2.304444681905669923e-01 4.719945690779557834e-01 3.319294348007550965e-01 3.153316496404770519e-01
1.997199403469044898e-01 3.777305649891409822e-01 4.357050378234482158e-01 4.024459223543577768e-01 5.797398563609101885e-01 5.139186887273159421e-01 4.108957944491457570e-01
2.165884968111158604e-01 1.398996667242951575e-01 3.408105557523660178e-01 1.665465661196221248e-01 3.606283825336747961e-01 2.540659370063513833e-01 2.331269358367037692e-01
2.221439959813519827e-01 1.617322951629398542e-01 2.176156787640722567e-01 1.401674873306822944e-01 2.843099659854096961e-01 2.542685683751385595e-01 2.398067501339540275e-01
2.258126249496818228e-01 2.971853440800522606e-01 6.259692898645150549e-01 4.742022283827764251e-01 8.112288098909290479e-01 6.202727458432594210e-01 4.456165783376089817e-01
2.293430300750119999e-01 2.072395093445066894e-01 3.620831403793426939e-01 3.384984180957307243e-01 5.623305298274114961e-01 4.626124142628449398e-01 4.676060950065661359e-01
3.661729378118239175e-01 9.192651707777549364e-02 2.578346599499931613e-01 1.791961698886101739e-01 5.158551864978394574e-01 3.730857296928820621e-01 5.241196063012460993e-01
