# staircaseramp pharma apab apabv3 ap05hz ap1hz ap2hz sactiv sinactiv
1.330193093142799654e-01 1.191145920092323007e-01 2.095073693136249304e-01 1.490638176640235457e-01 2.774785485814069141e-01 2.156133459569490318e-01 3.392175732546759970e-01 1.150394582547605432e-01 1.151718897477291143e-01
1.331978869496492079e-01 1.319305772181005310e-01 4.379643396463274718e-01 2.244886031696456119e-01 4.334598530472194566e-01 3.302773332164505860e-01 4.363889889934416400e-01 5.305629555859296687e-02 9.347864976212177934e-02
1.337113403638701126e-01 6.734557548843357611e-02 2.347114299145299510e-01 1.018026958790010511e-01 2.489569142672017066e-01 2.163133702667603131e-01 2.520008346202280425e-01 3.498480092825298482e-02 1.615152418717573923e-01
1.343170787483643214e-01 5.083684202503780947e-01 4.452368581763386790e-01 3.892275091725097558e-01 5.913909557000339712e-01 4.743158556433573758e-01 3.191098861122398378e-01 2.248079443133135791e-01 8.252557353205745849e-02
1.347727157884686389e-01 7.594604244508555702e-02 2.720270064560790790e-01 1.370903983442349761e-01 2.893702905704091943e-01 2.322484189252499720e-01 3.411941041306070233e-01 6.112202781192415529e-02 1.426482383211380989e-01
1.379418447490715349e-01 2.714979873886562145e-01 1.031037537728919817e+00 7.744500354941463716e-01 9.392232619102076630e-01 8.068797947249708447e-01 1.268104627518676697e+00 2.074456828728659108e-01 1.558293377568754912e-01
1.383215845634065688e-01 1.616384732621100329e-01 4.464373608695669238e-01 2.871805226866083194e-01 5.110581714726136759e-01 4.242627424391703372e-01 4.223861396387394440e-01 8.500770302903430664e-02 2.276523344865012677e-01
1.387370889374880678e-01 1.889943122012740229e-01 5.514639657031292774e-01 4.306926410792180637e-01 7.589291209499262614e-01 6.992954488397776780e-01 4.895267461469213766e-01 7.566960083457077713e-02 8.024728392819033274e-02
1.388555982973054825e-01 1.585095443087820299e-01 6.329550878273890735e-01 5.380747436131915196e-01 5.308366327520075423e-01 5.176676300374002393e-01 8.785998214821161278e-01 1.384503961396268135e-01 1.860732000280324316e-01
1.389721492799899927e-01 2.347796517753074630e-01 2.606250170945927924e-01 2.265017972865950857e-01 3.300313152298246511e-01 2.592482396967386027e-01 3.600402363345108769e-01 7.240975695669589485e-02 1.692039925150221336e-01
1.400319784682825530e-01 4.276338539594345955e-01 3.370363837738368229e-01 4.310174088059683939e-01 4.278053447091557659e-01 3.494824595707900494e-01 2.264171320670212983e-01 2.286859572058757839e-01 1.764738546949332354e-01
1.405664582732610579e-01 1.950600833530858891e-01 3.342639260042690186e-01 2.035562961819007144e-01 4.125881606659877465e-01 2.987658356964300044e-01 2.116721032407696546e-01 1.696618311824198699e-01 1.538260950913243608e-01
1.419705722058310637e-01 1.580781417407110812e-01 5.757182534388489703e-01 5.442664661771826617e-01 6.928512534751792851e-01 5.596546486774907070e-01 5.614125778480060225e-01 8.574743989763333740e-02 1.320801860405528827e-01
1.432531425241617418e-01 2.237087378610889132e-01 3.862714946559557827e-01 3.057813294715945318e-01 5.639226494880508200e-01 4.030138519263394281e-01 2.539677344999858866e-01 7.783375885699987673e-02 1.619542117807670489e-01
1.454696866259169441e-01 2.461209232572379169e-01 3.134693740746804513e-01 2.468979968361338928e-01 4.400480307851940553e-01 3.348446823599082744e-01 3.821162165926638710e-01 8.847057758984598619e-02 1.096037078729812375e-01
1.496833142215631407e-01 3.077749607792672482e-01 4.509700219276063793e-01 3.300561756955527337e-01 6.122243646394273098e-01 4.299799936310355619e-01 2.538299143957433168e-01 1.408443010016071362e-01 2.473991999908259354e-01
1.502082812789404254e-01 1.538617973187164645e-01 5.294574853055931118e-01 2.023534114505192161e-01 3.556412325294316945e-01 3.124070481468142479e-01 3.203381764958360134e-01 1.509193071711566192e-01 1.626888439217437088e-01
1.506191728516936279e-01 2.641184035252472917e-01 4.285189663652979597e-01 2.469794479900822015e-01 5.097644037716502208e-01 3.823475082915207546e-01 3.424456659516205148e-01 8.409533652346573573e-02 2.262214473363365064e-01
1.525251034766796354e-01 1.124361277849518226e-01 3.014068844558547289e-01 1.694281817789850819e-01 3.103138594172294429e-01 2.180141006992325492e-01 3.072588446741210122e-01 7.399715572972738464e-02 2.993246006435562045e-01
1.535172436754714542e-01 3.400130059398681626e-01 7.581601893892502275e-01 5.002836108747982236e-01 8.359648458382235026e-01 6.544226090582033750e-01 4.057025394305093791e-01 1.096530657977984463e-01 1.717163768803258439e-01
1.542927181415078841e-01 2.564240677669085144e-01 7.561880323043107532e-01 4.484984911701013766e-01 7.160640077831919026e-01 5.474697982915229799e-01 5.024964070548589845e-01 1.773364310594909010e-01 1.535794918982450741e-01
1.547529786228156734e-01 1.581421762077314663e-01 1.226150955180062008e+00 1.398788475838510514e+00 9.269424556638806711e-01 8.424149620123063675e-01 7.349805000503188968e-01 1.718827501199218788e-01 1.244516036048173291e-01
1.576732953461778275e-01 3.834114547950519536e-01 4.025725754614688512e-01 3.313338478129412290e-01 6.410485896947036855e-01 4.379514639872355009e-01 2.903806365146858193e-01 1.366181903301031120e-01 1.461810572173915246e-01
1.596686296532488780e-01 1.961248452345452642e-01 5.040844810038210833e-01 3.629099831663130660e-01 5.837522716127409028e-01 4.451208972302809208e-01 6.976223873051503599e-01 1.735854391571924615e-01 1.632307849176787840e-01
